Customer_ID,Age,Monthly_Income,Loan_Amount,Credit_Score,Years_Employed,Num_Children,Savings_Balance,Monthly_Transport,Satisfaction_Score,Income_Copy,Gender,Employment_Type,State,Owns_House,Defaulted
C001,24,120000,500000,620,2,0,35000,18000,7,120000,Male,Private,Akwa Ibom,No,No
C002,45,450000,1200000,780,18,3,450000,25000,9,450000,Female,Government,Lagos,Yes,No
C003,31,210000,800000,690,6,1,120000,20000,8,210000,Male,Private,Rivers,No,No
C004,52,600000,1500000,810,25,4,800000,30000,9,600000,Female,Government,Abuja,Yes,No
C005,27,95000,450000,590,1,0,15000,16000,5,95000,Male,Self-employed,Akwa Ibom,No,Yes
C006,39,320000,900000,,12,2,280000,22000,8,320000,Female,Private,Lagos,Yes,No
C007,29,150000,600000,640,4,1,50000,19000,6,150000,Male,Private,Rivers,,Yes
C008,48,520000,1300000,790,21,3,600000,28000,10,520000,Female,Government,Lagos,Yes,No
C009,34,250000,850000,700,8,2,180000,21000,7,250000,Male,Private,Akwa Ibom,No,No
C010,41,380000,1000000,750,15,2,350000,24000,8,380000,Female,Self-employed,Rivers,Yes,No
C011,23,85000,400000,580,1,0,10000,15000,4,85000,Female,Private,Akwa Ibom,No,Yes
C012,56,700000,1600000,820,30,5,950000,32000,10,700000,Male,Government,Abuja,Yes,No
C013,37,280000,750000,,10,2,220000,21000,7,280000,Male,Private,Lagos,,No
C014,30,’ ’,550000,,5,1,70000,18000,6,’ ’,Female,Private,Rivers,No,Yes
C015,43,410000,1100000,760,16,3,400000,25000,9,410000,Female,Government,Lagos,Yes,No
C016,26,110000,480000,600,2,0,20000,17000,5,110000,Male,Self-employed,Akwa Ibom,No,Yes
C017,35,260000,850000,705,9,2,160000,21000,7,260000,Female,Private,Rivers,Yes,No
C018,49,15000000,50000000,800,23,4,9000000,35000,10,15000000,Male,Government,Abuja,Yes,No
C019,28,130000,520000,630,3,1,40000,18000,6,130000,Female,Private,Akwa Ibom,No,Yes
C020,40,350000,950000,740,14,2,310000,23000,8,350000,Male,Self-employed,Lagos,Yes,No



